Ge U[V]	Ge I[uA]	Si U[V]	Si I[uA]	light I[uA]	Zener I [mA]	Zener U[V]
0.02	6.21	0.1	0.4	0.16	0.1	1.381
0.04	10.18	0.2	0.44	0.16	0.2	1.531
0.06	12.63	0.3	0.46	0.16	0.3	1.628
0.08	13.65	0.5	0.5	0.16	0.5	1.757
0.1	14.42	0.7	0.52	0.16	0.7	1.849
0.2	14.91	1.0	0.55	0.16	1.0	1.954
0.3	15.04	1.5	0.59	0.16	1.5	2.086
0.5	15.52	2.0	0.63	0.16	2.0	2.189
0.7	16.01	3.0	0.68	0.16	3.0	2.353
1.0	16.34	4.0	0.72	0.17	4.0	2.486
1.5	16.4	5.0	0.76	0.17	5.0	2.599
2.0	16.58	6.0	0.79	0.17	6.0	2.702
3.0	16.9	7.0	0.82	0.17	7.0	2.794
4.0	17.22	8.0	0.84	0.17	8.0	2.883
5.0	17.58	9.0	0.87	0.17	9.0	2.971
6.0	17.98	10.0	0.9	0.17	10.0	3.045
