x,I
-5.7,0.02
-5.6,0.02
-5.5,0.02
-5.4,0.01
-5.3,0.02
-5.2,0.02
-5.1,0.01
-5.0,0.02
-4.9,0.06
-4.8,0.12
-4.7,0.24
-4.6,0.36
-4.5,0.5
-4.4,0.59
-4.3,0.62
-4.2,0.58
-4.1,0.56
-4.0,0.51
-3.9,0.4
-3.8,0.31
-3.7,0.2
-3.6,0.2
-3.5,0.23
-3.4,0.38
-3.3,0.58
-3.2,0.84
-3.1,1.21
-3.0,1.64
-2.9,2.17
-2.8,2.57
-2.7,2.73
-2.6,2.52
-2.5,2.02
-2.4,1.38
-2.3,0.91
-2.2,0.57
-2.1,0.47
-2.0,0.6
-1.9,1.04
-1.8,1.83
-1.7,3.04
-1.6,4.25
-1.5,5.13
-1.4,5.94
-1.3,5.29
-1.2,4.46
-1.1,3.43
-1.0,2.37
-0.9,1.55
-0.8,1.06
-0.7,1.05
-0.6,1.49
-0.5,2.48
-0.4,3.81
-0.3,5.3
-0.2,6.96
-0.1,8.3
0.0,8.76
0.1,8.11
0.2,6.71
0.3,5.2
0.4,3.57
0.5,2.37
0.6,1.57
0.7,1.2
0.8,1.31
0.9,1.93
1.0,2.94
1.1,4.17
1.2,5.0
1.3,5.3
1.4,5.45
1.5,5.4
1.6,4.98
1.7,4.0
1.8,3.17
1.9,2.34
2.0,1.57
2.1,1.94
2.2,0.67
2.3,0.71
2.4,0.99
2.5,1.54
2.6,2.14
2.7,2.82
2.8,3.33
2.9,3.62
3.0,3.6
3.1,2.93
3.2,2.1
3.3,1.32
