x,I
-7.0,0.05
-6.8,0.04
-6.6,0.03
-6.4,0.02
-6.2,0.03
-6.0,0.02
-5.8,0.07
-5.6,0.13
-5.4,0.15
-5.2,0.18
-5.0,0.19
-4.8,0.21
-4.6,0.43
-4.4,0.78
-4.2,1.12
-4.0,1.65
-3.8,1.68
-3.6,1.86
-3.4,1.93
-3.2,2.37
-3.0,3.22
-2.8,3.67
-2.6,3.57
-2.4,3.76
-2.2,5.1
-2.0,7.0
-1.8,12.9
-1.6,15.3
-1.4,29.5
-1.2,46.9
-1.0,96.1
-0.8,127.8
-0.6,200.5
-0.4,328.1
-0.2,465.8
0.0,517.0
0.2,377.0
0.4,214.0
0.6,102.0
0.8,46.4
1.0,24.5
1.2,11.4
1.4,7.2
1.6,4.7
1.8,3.83
2.0,3.41
2.2,2.53
2.4,1.95
2.6,1.36
2.8,0.97
3.0,0.76
3.2,0.7
3.4,0.6
3.6,0.6
3.8,0.53
4.0,0.4
4.2,0.23
4.4,0.15
4.6,0.12
4.8,0.11
5.0,0.11
5.2,0.08
5.4,0.05
5.6,0.04
5.8,0.04
6.0,0.04
6.2,0.06
6.4,0.07
6.6,0.07
6.8,0.06
7.0,0.05
7.2,0.08
7.4,0.09
7.6,0.1
7.8,0.09
8.0,0.05
8.2,0.04
8.4,0.04
8.6,0.04
8.8,0.04
9.0,0.04
9.2,0.04
9.4,0.03
9.6,0.02
